0.2;Симметричное;-;>350;1;1
0.4;Симметричное;-;>350;1.01;1.03
0.6;Симметричное;-;>350;1.03;1.03
0.8;Симметричное;-;>350;1.06;1.08
1;Симметричное;-;>350;1.1;1.15
1.2;Симметричное;-;>350;1.13;1.18
1.4;Симметричное;-;>350;1.15;1.25
1.6;Симметричное;-;>350;1.2;1.3
0.2;Симметричное;-;<350;1;1
0.4;Симметричное;-;<350;1;1.01
0.6;Симметричное;-;<350;1.01;1.02
0.8;Симметричное;-;<350;1.03;1.05
1;Симметричное;-;<350;1.04;1.08
1.2;Симметричное;-;<350;1.05;1.1
1.4;Симметричное;-;<350;1.07;1.13
1.6;Симметричное;-;<350;1.08;1.16
0.2;Несимметричное;Жесткий вал;>350;1.01;1.02
0.4;Несимметричное;Жесткий вал;>350;1.05;1.07
0.6;Несимметричное;Жесткий вал;>350;1.09;1.13
0.8;Несимметричное;Жесткий вал;>350;1.14;1.2
1;Несимметричное;Жесткий вал;>350;1.18;1.27
1.2;Несимметричное;Жесткий вал;>350;1.25;1.37
1.4;Несимметричное;Жесткий вал;>350;1.32;1.5
1.6;Несимметричное;Жесткий вал;>350;1.4;1.6
0.2;Несимметричное;Жесткий вал;<350;1;1.01
0.4;Несимметричное;Жесткий вал;<350;1.02;1.04
0.6;Несимметричное;Жесткий вал;<350;1.04;1.07
0.8;Несимметричное;Жесткий вал;<350;1.06;1.11
1;Несимметричное;Жесткий вал;<350;1.08;1.15
1.2;Несимметричное;Жесткий вал;<350;1.1;1.2
1.4;Несимметричное;Жесткий вал;<350;1.13;1.25
1.6;Несимметричное;Жесткий вал;<350;1.16;1.32
0.2;Несимметричное;Нежесткий вал;>350;1.06;1.1
0.4;Несимметричное;Нежесткий вал;>350;1.12;1.2
0.6;Несимметричное;Нежесткий вал;>350;1.2;1.3
0.8;Несимметричное;Нежесткий вал;>350;1.27;1.44
1;Несимметричное;Нежесткий вал;>350;1.37;1.57
1.2;Несимметричное;Нежесткий вал;>350;1.5;1.72
1.4;Несимметричное;Нежесткий вал;>350;1.6;1.85
1.6;Несимметричное;Нежесткий вал;>350;-;-
0.2;Несимметричное;Нежесткий вал;<350;1.02;1.05
0.4;Несимметричное;Нежесткий вал;<350;1.05;1.12
0.6;Несимметричное;Нежесткий вал;<350;1.08;1.17
0.8;Несимметричное;Нежесткий вал;<350;1.12;1.28
1;Несимметричное;Нежесткий вал;<350;1.15;1.32
1.2;Несимметричное;Нежесткий вал;<350;1.18;1.4
1.4;Несимметричное;Нежесткий вал;<350;1.23;1.5
1.6;Несимметричное;Нежесткий вал;<350;1.28;1.6
0.2;Консольное;-;>350;1.15;1.25
0.4;Консольное;-;>350;1.35;1.55
0.6;Консольное;-;>350;1.6;1.9
0.8;Консольное;-;>350;1.85;2.3
1;Консольное;-;>350;-;-
1.2;Консольное;-;>350;-;-
1.4;Консольное;-;>350;-;-
1.6;Консольное;-;>350;-;-
0.2;Консольное;-;<350;1.07;1.13
0.4;Консольное;-;<350;1.15;1.28
0.6;Консольное;-;<350;1.24;1.5
0.8;Консольное;-;<350;1.35;1.7
1;Консольное;-;<350;-;-
1.2;Консольное;-;<350;-;-
1.4;Консольное;-;<350;-;-
1.6;Консольное;-;<350;-;-
